, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C5,LSD 3,Trial     8,A5,0:00:00-0:30:00,906.896,0.787701,19,1675.76,20,1,2,0.28,117.35,2933.74,6991.39,200366000
C5,LSD 3,Trial     8,A11,0:00:00-0:30:00,1162.15,0.827132,27,1407.48,29,2.4,14,1.68,119.765,2994.13,7325.96,252182000
C5,LSD 3,Trial     8,B5,0:00:00-0:30:00,1023.57,0.676015,2,451,5,0.2,0,0,118.498,2962.45,7606.56,287277000
C5,LSD 3,Trial     8,B11,0:00:00-0:30:00,805.184,0.498393,2,1191.92,3,0.12,0,0,121.775,3044.37,9442.81,347977000
C5,LSD 3,Trial     8,C5,0:00:00-0:30:00,621.637,0.345646,0,0,0,0,0,0,127.956,3198.89,10799.7,346075000
C5,LSD 3,Trial     8,C11,0:00:00-0:30:00,731.124,0.603277,5,686.52,6,0.24,0,0,120.183,3004.59,7907.33,234974000
C5,LSD 3,Trial     8,D5,0:00:00-0:30:00,1275.79,0.709372,8,515,8,0.36,2,0.12,118.504,2962.6,7820.34,349350000
C5,LSD 3,Trial     8,D11,0:00:00-0:30:00,1360.34,0.786394,0,0,1,0.04,1,0.04,120.012,3000.3,6963.47,299213000
C5,LSD 3,Trial     8,E5,0:00:00-0:30:00,1228.61,0.833182,32,1687.72,39,1.56,1,0.04,118.898,2972.44,6858.93,252271000
C5,LSD 3,Trial     8,E11,0:00:00-0:30:00,1092.75,0.628262,22,1613.32,27,1.08,0,0,118.908,2972.7,7783.54,336607000
C5,LSD 3,Trial     8,F5,0:00:00-0:30:00,1054.54,0.794106,9,1111.92,11,1.68,6,1.48,118.283,2957.08,6930.88,228005000
C5,LSD 3,Trial     8,F11,0:00:00-0:30:00,1249.77,0.694901,27,1515.4,30,1.2,0,0,118.17,2954.25,7518.38,330831000
C5,LSD 3,Trial     8,G5,0:00:00-0:30:00,1514.22,1.12598,198,1784.72,229,9.16,0,0,119.366,2984.16,5507.39,183754000
C5,LSD 3,Trial     8,G11,0:00:00-0:30:00,1224.38,0.681983,13,1665.76,17,0.68,0,0,118.729,2968.22,7576.8,337289000
C5,LSD 3,Trial     8,H5,0:00:00-0:30:00,665.588,0.578611,2,1.84,2,0.08,0,0,119.818,2995.45,8337.29,237312000
C5,LSD 3,Trial     8,H11,0:00:00-0:30:00,1082.54,0.601918,3,372.52,3,0.16,1,0.08,120.285,3007.13,8154.4,359878000
C5,LSD 10,Trial     8,A6,0:00:00-0:30:00,1015.34,0.974784,66,885.92,67,2.68,0,0,120.212,3005.31,5680.22,146589000
C5,LSD 10,Trial     8,A12,0:00:00-0:30:00,12.0382,1.51998,1,2.12,1,0.04,0,0,128.561,3214.03,5002.24,845378
C5,LSD 10,Trial     8,B6,0:00:00-0:30:00,1069.21,0.594507,4,1667.92,4,0.2,1,0.08,118.317,2957.94,8485.44,380385000
C5,LSD 10,Trial     8,B12,0:00:00-0:30:00,763.781,0.424682,0,0,0,0,0,0,118.722,2968.05,10315.6,439599000
C5,LSD 10,Trial     8,C6,0:00:00-0:30:00,918.989,0.510981,2,1180.36,6,0.24,0,0,121.559,3038.97,9425.91,388706000
C5,LSD 10,Trial     8,C12,0:00:00-0:30:00,1013.97,0.682863,1,201.8,3,0.12,0,0,119.7,2992.5,7345.05,269453000
C5,LSD 10,Trial     8,D6,0:00:00-0:30:00,1294.05,0.735772,41,728.96,45,1.84,2,0.12,118.99,2974.75,6719.64,292459000
C5,LSD 10,Trial     8,D12,0:00:00-0:30:00,787.276,0.721927,11,1734.64,20,0.92,4,0.2,117.875,2946.89,7374.36,200398000
C5,LSD 10,Trial     8,E6,0:00:00-0:30:00,2242.4,1.24683,944,1712.96,991,39.64,0,0,118.643,2966.08,5590.71,250413000
C5,LSD 10,Trial     8,E12,0:00:00-0:30:00,676.045,0.729094,2,19.16,5,0.2,0,0,118.359,2958.99,7502.41,173741000
C5,LSD 10,Trial     8,F6,0:00:00-0:30:00,1284.77,0.715577,13,1171.12,19,0.76,0,0,118.708,2967.7,7477.78,335513000
C5,LSD 10,Trial     8,F12,0:00:00-0:30:00,1133.11,0.718196,9,1407.2,10,0.4,0,0,116.969,2924.22,7250.61,285021000
C5,LSD 10,Trial     8,G6,0:00:00-0:30:00,1177.98,0.693207,5,1209.44,7,0.32,2,0.12,118.214,2955.36,7571.15,319464000
C5,LSD 10,Trial     8,G12,0:00:00-0:30:00,137.616,0.776963,4,0.92,4,0.16,0,0,125.123,3128.07,6827.32,24134600
C5,LSD 10,Trial     8,H6,0:00:00-0:30:00,936.366,0.806878,3,1666.12,5,0.2,0,0,118.427,2960.67,6553.06,190019000
C5,LSD 10,Trial     8,H12,0:00:00-0:30:00,741.356,0.412212,0,0,0,0,0,0,120.642,3016.05,10459.2,453888000
C6,DOI 0.1,Trial     8,A8,0:00:00-0:30:00,5954.41,3.31493,2079,1509.76,3629,188.96,909,61.08,90.7747,2269.37,4729.08,211546000
C6,DOI 0.1,Trial     8,B2,0:00:00-0:30:00,1780.08,1.01761,581,1737.04,706,32.6,139,7.48,109.505,2737.62,7428.48,321750000
C6,DOI 0.1,Trial     8,B8,0:00:00-0:30:00,2372.55,1.31952,721,1688.8,1001,46.76,163,8.6,112.159,2803.97,6145.02,273828000
C6,DOI 0.1,Trial     8,C2,0:00:00-0:30:00,1352.53,0.963147,250,1365.56,357,16.52,61,3.6,114.491,2862.28,6790.93,237479000
C6,DOI 0.1,Trial     8,C8,0:00:00-0:30:00,1523.74,1.02212,352,1368.72,433,19.28,77,3.84,114.624,2865.61,6758.33,250693000
C6,DOI 0.1,Trial     8,D2,0:00:00-0:30:00,1552.57,0.890134,53,1267.84,72,3.76,23,1.56,117.819,2945.48,6647.51,288808000
C6,DOI 0.1,Trial     8,D8,0:00:00-0:30:00,2652.9,1.47586,983,1599.6,1167,53.2,255,13.24,108.671,2716.79,6011.59,269373000
C6,DOI 0.1,Trial     8,E2,0:00:00-0:30:00,1487.21,0.914956,157,1601.96,205,11,63,4.2,117.121,2928.01,6828.23,276270000
C6,DOI 0.1,Trial     8,E8,0:00:00-0:30:00,2934.69,1.63165,1163,1574.92,1460,73.56,417,23.72,106.043,2651.09,6585.75,291334000
C6,DOI 0.1,Trial     8,F2,0:00:00-0:30:00,1551.8,0.917224,57,1759.8,74,3.36,11,0.68,118.319,2957.97,6161.45,259927000
C6,DOI 0.1,Trial     8,F8,0:00:00-0:30:00,3991.29,2.21911,1870,1587.2,2227,106.72,608,29.04,99.5143,2487.86,4549.2,204209000
C6,DOI 0.1,Trial     8,G2,0:00:00-0:30:00,3352.61,1.88154,1606,1629.28,2032,101.32,496,29.32,103.268,2581.71,6450.58,284709000
C6,DOI 0.1,Trial     8,G8,0:00:00-0:30:00,3854.62,2.14341,1667,1639.2,2266,106.96,554,28.36,100.745,2518.63,5075.91,226442000
C6,DOI 0.1,Trial     8,H2,0:00:00-0:30:00,2240.05,1.24544,635,1725.84,812,38.76,185,10.32,112.048,2801.21,6391.31,287034000
C6,DOI 0.1,Trial     8,H8,0:00:00-0:30:00,3047.09,1.69415,1251,1650.72,1542,77.2,430,23.64,103.254,2581.34,5905.75,264099000
C6,DOI 0.3,Trial     8,A3,0:00:00-0:30:00,1011.54,0.699042,112,1291.92,135,6.72,47,2.48,117.875,2946.87,8020.11,287152000
C6,DOI 0.3,Trial     8,A9,0:00:00-0:30:00,2000.62,1.12475,749,1717.4,881,41.6,218,11.12,110.837,2770.92,7713.06,339591000
C6,DOI 0.3,Trial     8,B3,0:00:00-0:30:00,1611.02,0.895706,237,1509.56,290,14.12,73,3.88,116.185,2904.62,6995.87,313261000
C6,DOI 0.3,Trial     8,B9,0:00:00-0:30:00,1794.77,1.05226,482,1752.72,713,30.44,66,3.64,112.429,2810.72,7017.57,297138000
C6,DOI 0.3,Trial     8,C9,0:00:00-0:30:00,2914.18,1.62025,1098,1688.28,1547,70.4,221,11.84,107.183,2679.57,5638.46,252270000
C6,DOI 0.3,Trial     8,D3,0:00:00-0:30:00,2116.93,1.17704,518,1751.72,690,32.24,138,7.84,113.369,2834.23,6562.14,292508000
C6,DOI 0.3,Trial     8,D9,0:00:00-0:30:00,1960.2,1.09108,492,419.8,658,34.48,204,12.6,114.874,2871.85,7717.28,341752000
C6,DOI 0.3,Trial     8,E3,0:00:00-0:30:00,2152.63,1.19817,625,1257.48,758,34.24,152,7.4,111.976,2799.4,6181.08,277104000
C6,DOI 0.3,Trial     8,E9,0:00:00-0:30:00,1789.91,0.99517,324,1713.16,438,20.44,69,4.48,115.026,2875.64,6955.14,309998000
C6,DOI 0.3,Trial     8,F3,0:00:00-0:30:00,1339.28,0.839003,106,1360.4,130,7.8,50,3.48,117.79,2944.76,7264.05,287671000
C6,DOI 0.3,Trial     8,F9,0:00:00-0:30:00,5584.39,3.10644,2845,1545.48,3374,167.16,1242,64.52,86.3653,2159.13,4456.36,199382000
C6,DOI 0.3,Trial     8,G3,0:00:00-0:30:00,1608.92,0.944955,298,1663.72,353,16.08,49,3.08,113.266,2831.64,6685.09,283688000
C6,DOI 0.3,Trial     8,G9,0:00:00-0:30:00,4271.28,2.37478,1514,1637.8,2044,111.4,671,40.88,100.939,2523.47,4771.22,214185000
C6,DOI 0.3,Trial     8,H3,0:00:00-0:30:00,4112.91,2.43212,1443,1438.28,2002,113.32,805,52.48,97.4836,2437.09,5625.81,236582000
C6,DOI 0.3,Trial     8,H9,0:00:00-0:30:00,3063.2,1.75739,1087,1187.32,1406,71.04,469,25.76,105.757,2643.93,5772.46,250681000
C6,DOI 1,Trial     8,A4,0:00:00-0:30:00,1279.63,0.916771,324,1341.08,378,17.8,88,4.88,114.491,2862.27,8154.8,280941000
C6,DOI 1,Trial     8,A10,0:00:00-0:30:00,2216.92,1.29757,573,1457.08,750,37.24,217,12.64,112.521,2813.02,6174.26,261721000
C6,DOI 1,Trial     8,B4,0:00:00-0:30:00,1622.89,0.90636,296,1714.48,362,17.28,71,4.28,115.341,2883.51,7075.93,315678000
C6,DOI 1,Trial     8,B10,0:00:00-0:30:00,1391.54,0.907488,203,652.36,298,13.96,63,3.48,116.115,2902.88,7144.66,272819000
C6,DOI 1,Trial     8,C4,0:00:00-0:30:00,1600.39,0.92131,398,1696.88,512,22.52,64,3.84,113.15,2828.75,7653.51,331183000
C6,DOI 1,Trial     8,C10,0:00:00-0:30:00,2893.36,1.60903,1092,1316.2,1374,67.32,495,25.8,104.201,2605.02,6276.99,280525000
C6,DOI 1,Trial     8,D4,0:00:00-0:30:00,3682.5,2.04752,1436,1663.96,1771,92.52,594,35.72,105.742,2643.55,5461.78,245179000
C6,DOI 1,Trial     8,D10,0:00:00-0:30:00,2463.88,1.40171,821,716.48,1041,53,303,18.64,110.367,2759.17,6612,288640000
C6,DOI 1,Trial     8,E4,0:00:00-0:30:00,982.525,0.546272,25,399.4,30,1.48,9,0.52,121.182,3029.56,8224.19,332660000
C6,DOI 1,Trial     8,E10,0:00:00-0:30:00,1573.02,0.885111,332,1412.76,423,18.72,41,2.32,115.351,2883.77,7423.84,321682000
C6,DOI 1,Trial     8,F4,0:00:00-0:30:00,2142.17,1.19102,688,1740.24,844,38.4,117,6.64,111.506,2787.64,6308.66,282899000
C6,DOI 1,Trial     8,F10,0:00:00-0:30:00,3260.92,1.81348,1225,1683.56,1552,76.6,494,26.6,105.303,2632.56,5938.93,265494000
C6,DOI 1,Trial     8,G10,0:00:00-0:30:00,2475.19,1.37618,916,1720.88,1164,53.64,240,12.44,107.876,2696.91,6221.58,278192000
C6,DOI 1,Trial     8,H4,0:00:00-0:30:00,1537.22,0.854675,319,1771.52,391,18.28,88,4.68,116.114,2902.85,8000.21,353409000
C6,DOI 1,Trial     8,H10,0:00:00-0:30:00,1771.26,1.00035,514,1725.72,670,28.96,60,3,112.938,2823.46,6971.28,307120000
C6,DOI 3,Trial     8,A5,0:00:00-0:30:00,1365.4,0.77509,47,1756.6,76,3.28,9,0.44,118.042,2951.05,7161.14,314195000
C6,DOI 3,Trial     8,A11,0:00:00-0:30:00,1770.51,1.06332,463,1636.96,563,26.72,117,6.72,112.875,2821.88,6633.18,273380000
C6,DOI 3,Trial     8,B5,0:00:00-0:30:00,1073.07,0.653753,63,1427.28,86,3.64,6,0.32,118.458,2961.45,8063.27,328344000
C6,DOI 3,Trial     8,B11,0:00:00-0:30:00,1794.81,0.998314,395,1049.32,491,24.32,118,7.44,114.766,2869.16,7182.15,320209000
C6,DOI 3,Trial     8,C5,0:00:00-0:30:00,1720.48,0.956569,294,1619.6,413,19.8,90,5.12,115.064,2876.59,7739.6,342160000
C6,DOI 3,Trial     8,C11,0:00:00-0:30:00,2001.76,1.113,595,1646.8,703,32.76,182,8.84,111.557,2788.93,6742.76,301064000
C6,DOI 3,Trial     8,D5,0:00:00-0:30:00,2250.65,1.2515,477,1601.48,608,32.64,224,12.96,114.037,2850.91,6133.78,275530000
C6,DOI 3,Trial     8,D11,0:00:00-0:30:00,2270.48,1.26433,769,888.56,954,43.96,170,8.44,109.989,2749.72,6152.54,275652000
C6,DOI 3,Trial     8,E5,0:00:00-0:30:00,1332.61,0.740913,53,1663.96,74,3.56,15,1,118.539,2963.48,7354.37,326674000
C6,DOI 3,Trial     8,E11,0:00:00-0:30:00,1866.93,1.04856,272,1305.88,395,20.48,105,7.24,115.836,2895.89,7088.41,313988000
C6,DOI 3,Trial     8,F5,0:00:00-0:30:00,1647.88,0.916244,274,1765.96,341,15.8,85,4.16,116.261,2906.52,6977.43,312205000
C6,DOI 3,Trial     8,F11,0:00:00-0:30:00,1684.9,0.95711,434,1720.12,603,25.92,55,3.4,112.98,2824.5,7398.81,322876000
C6,DOI 3,Trial     8,G5,0:00:00-0:30:00,1439.01,0.82896,130,1422.92,192,8.64,26,1.56,117.752,2943.8,7135.38,308206000
C6,DOI 3,Trial     8,G11,0:00:00-0:30:00,3332.32,1.87906,1425,1456.16,1666,80.6,611,31.04,101.068,2526.69,6046.15,266278000
C6,DOI 3,Trial     8,H5,0:00:00-0:30:00,1763.17,1.00319,449,1429.44,657,29.28,113,5.6,113.618,2840.45,7387.92,321404000
C6,DOI 3,Trial     8,H11,0:00:00-0:30:00,1354.01,0.773807,136,1787.76,163,8.24,45,3.04,117.849,2946.23,7464.45,323927000
C6,DOI 10,Trial     8,A6,0:00:00-0:30:00,1413.41,0.816361,246,1671.84,317,13.52,26,1.56,115.87,2896.75,7380.82,316121000
C6,DOI 10,Trial     8,A12,0:00:00-0:30:00,1056.2,0.592479,101,785.88,117,12.12,21,1.24,118.715,2967.87,8632.74,373841000
C6,DOI 10,Trial     8,B12,0:00:00-0:30:00,1559.36,1.15985,186,1266.16,225,10.04,52,2.64,117.39,2934.75,5440.14,181766000
C6,DOI 10,Trial     8,C6,0:00:00-0:30:00,1710.47,0.951002,169,1760.6,228,10.64,35,2.36,115.954,2898.85,6464.79,285660000
C6,DOI 10,Trial     8,C12,0:00:00-0:30:00,1466.11,0.816231,165,1749.36,216,9.48,22,1.48,117.54,2938.49,7265.9,324946000
C6,DOI 10,Trial     8,D6,0:00:00-0:30:00,1824.19,1.01423,305,1720.48,359,16.08,52,3.04,114.374,2859.36,6561.71,293197000
C6,DOI 10,Trial     8,D12,0:00:00-0:30:00,1567.14,0.871313,145,494.68,200,9.44,52,2.76,118.356,2958.89,6513.91,283785000
C6,DOI 10,Trial     8,E6,0:00:00-0:30:00,1680.59,0.934389,221,1695.04,291,13.76,64,3.28,117.068,2926.71,6629.6,297185000
C6,DOI 10,Trial     8,E12,0:00:00-0:30:00,203.289,0.525132,0,0,0,0,0,0,119.932,2998.29,8619.1,81872900
C6,DOI 10,Trial     8,F6,0:00:00-0:30:00,1681.48,0.934884,217,1559.28,256,11.24,34,1.6,116.961,2924.03,6595.22,295578000
C6,DOI 10,Trial     8,F12,0:00:00-0:30:00,1504.18,0.837403,260,1590.84,335,14.52,46,2.44,115.97,2899.25,7519.64,335135000
C6,DOI 10,Trial     8,G6,0:00:00-0:30:00,1340.89,0.881469,186,1057,265,12,36,2.36,116.317,2907.93,7020.33,265081000
C6,DOI 10,Trial     8,G12,0:00:00-0:30:00,1173.4,0.725611,38,291.96,51,2.4,11,0.6,118.803,2970.08,7355.96,295614000
C6,DOI 10,Trial     8,H6,0:00:00-0:30:00,1177.83,0.65486,0,0,0,0,0,0,118.842,2971.06,7813.06,347283000
C6,DOI 10,Trial     8,H12,0:00:00-0:30:00,1649.38,0.917078,329,1757.36,432,20.76,98,5.32,115.528,2888.19,7368.34,328635000
C6,DOI DMSO,Trial     8,A1,0:00:00-0:30:00,1149.75,0.852401,153,1554.92,190,12.24,38,5.8,113.25,2831.25,7131.18,239401000
C6,DOI DMSO,Trial     8,A7,0:00:00-0:30:00,2463.56,1.36977,684,944,915,43.88,213,11.56,110.549,2763.73,5800.22,260267000
C6,DOI DMSO,Trial     8,B1,0:00:00-0:30:00,610.758,0.826689,82,725.04,128,6.24,29,1.96,115.884,2897.09,7609.84,139838000
C6,DOI DMSO,Trial     8,B7,0:00:00-0:30:00,1834.43,1.01996,434,1761.8,524,22.76,58,2.72,114.362,2859.04,6700.65,300705000
C6,DOI DMSO,Trial     8,C1,0:00:00-0:30:00,3842.55,2.13722,1990,1617.24,2609,121.04,549,30.24,97.4302,2435.75,5731.25,256508000
C6,DOI DMSO,Trial     8,C7,0:00:00-0:30:00,3502.18,2.01145,1359,1595.56,1750,93.16,700,36.92,101.446,2536.14,6082.79,263099000
C6,DOI DMSO,Trial     8,D1,0:00:00-0:30:00,3747.35,2.1465,1668,1585.56,2199,112.88,591,36.2,101.342,2533.55,5837.5,253213000
C6,DOI DMSO,Trial     8,D7,0:00:00-0:30:00,2853.97,1.58677,1044,1690.8,1518,69.4,239,12,106.503,2662.56,5798.96,259880000
C6,DOI DMSO,Trial     8,E1,0:00:00-0:30:00,3928.14,2.18604,1580,1599.44,2188,110.44,697,39.76,98.6601,2466.5,5652.88,253147000
C6,DOI DMSO,Trial     8,E7,0:00:00-0:30:00,2592.8,1.44156,878,1701.96,1216,54.76,195,9.28,109.453,2736.32,5777.45,259101000
C6,DOI DMSO,Trial     8,F1,0:00:00-0:30:00,1827.06,1.01582,370,1756.24,524,26.12,127,7.6,114.404,2860.1,7157.42,320595000
C6,DOI DMSO,Trial     8,F7,0:00:00-0:30:00,1898.54,1.10627,372,1746.8,503,25.8,144,8.64,114.818,2870.45,6553.51,279265000
C6,DOI DMSO,Trial     8,G1,0:00:00-0:30:00,2345.52,1.32148,932,1719.12,1108,49.8,243,11.8,107.681,2692.03,6420.8,284024000
C6,DOI DMSO,Trial     8,G7,0:00:00-0:30:00,3278.9,1.82783,1131,1514.92,1608,78.68,362,21.8,106.238,2655.96,6176.15,275802000
C6,DOI DMSO,Trial     8,H1,0:00:00-0:30:00,2297.89,1.98115,1022,1185.64,1310,69.72,331,21.48,106.414,2660.36,5831.07,164798000
C6,DOI DMSO,Trial     8,H7,0:00:00-0:30:00,2639.06,1.46755,974,1709.04,1258,59.12,339,16.88,106.015,2650.37,6512.19,289434000
C6,MDA 0.1,Trial     4,A2,0:00:00-0:30:00,1474.64,0.821708,145,1769.08,191,9.6,41,2.68,117.177,2929.42,7184.88,321373000
C6,MDA 0.1,Trial     4,A8,0:00:00-0:30:00,1422.09,0.841394,65,1790.76,92,4.44,18,1.12,118.188,2954.7,7114.7,298220000
C6,MDA 0.1,Trial     4,B2,0:00:00-0:30:00,3106.23,1.72753,1709,1631.84,1855,87.2,462,24.2,106.571,2664.28,6555.38,291727000
C6,MDA 0.1,Trial     4,B8,0:00:00-0:30:00,1583.08,0.880134,287,1398.16,342,16.04,83,4.28,115.678,2891.95,7263.84,324664000
C6,MDA 0.1,Trial     4,C2,0:00:00-0:30:00,1635.61,0.933781,138,1493.56,171,8.96,61,3.36,117.496,2937.4,6610.64,288475000
C6,MDA 0.1,Trial     4,C8,0:00:00-0:30:00,2418.98,1.34481,919,1721.68,1190,51.8,160,7.76,107.612,2690.31,6194.01,277325000
C6,MDA 0.1,Trial     4,D2,0:00:00-0:30:00,4107.08,2.28832,1685,1610.88,2143,110.48,702,41.72,99.4698,2486.75,5508.08,246420000
C6,MDA 0.1,Trial     4,D8,0:00:00-0:30:00,2582.14,1.43551,990,1724.16,1189,51.52,110,6.04,108.103,2702.58,5395.08,242282000
C6,MDA 0.1,Trial     4,E2,0:00:00-0:30:00,1485.63,0.855105,134,1742.56,190,9.12,37,2.28,117.304,2932.59,7160.76,309853000
C6,MDA 0.1,Trial     4,E8,0:00:00-0:30:00,1822.38,1.01345,371,1759.64,485,25.12,152,8.88,114.486,2862.16,7085.12,316322000
C6,MDA 0.1,Trial     4,F2,0:00:00-0:30:00,2995.6,1.71814,1513,1632.96,1831,79.68,307,14.12,102.129,2553.22,5568.77,241072000
C6,MDA 0.1,Trial     4,F8,0:00:00-0:30:00,1698.33,0.944754,435,1760.12,587,25.6,75,3.84,114.77,2869.25,7278.14,324976000
C6,MDA 0.1,Trial     4,G2,0:00:00-0:30:00,1470.94,0.853984,238,1689.48,331,15.24,47,3,114.261,2856.53,7364,315231000
C6,MDA 0.1,Trial     4,G8,0:00:00-0:30:00,1137.7,1.04029,268,1702.84,357,16.92,89,4.48,114.531,2863.28,6882.55,186689000
C6,MDA 0.1,Trial     4,H2,0:00:00-0:30:00,1699.35,0.959282,422,1733.88,530,25.28,107,6.2,113.93,2848.24,7412.67,326847000
C6,MDA 0.1,Trial     4,H8,0:00:00-0:30:00,1514.38,0.842202,218,1733.48,327,15.36,67,3.68,116.549,2913.73,7437.64,331287000
C6,MDA 0.3,Trial     4,A3,0:00:00-0:30:00,1793.14,1.0112,391,1734.56,490,25.04,141,8.28,113.46,2836.5,7216.26,318735000
C6,MDA 0.3,Trial     4,A9,0:00:00-0:30:00,1960.95,1.09046,595,1715.92,727,36.52,206,11.2,112.323,2808.07,7412.43,329757000
C6,MDA 0.3,Trial     4,B3,0:00:00-0:30:00,1449.98,0.812877,80,1546.84,109,5.32,24,1.4,117.91,2947.75,6954.54,309408000
C6,MDA 0.3,Trial     4,C3,0:00:00-0:30:00,3314.54,1.84297,1316,1644.6,1692,84.16,487,26.08,103.881,2597.01,5824.03,260619000
C6,MDA 0.3,Trial     4,C9,0:00:00-0:30:00,1700.38,0.94535,342,1645.2,440,20.44,84,4.48,114.93,2873.25,6990.35,312203000
C6,MDA 0.3,Trial     4,D3,0:00:00-0:30:00,2601.42,1.44713,792,1710.4,1092,58.24,345,21.28,108.021,2700.53,6905.65,308379000
C6,MDA 0.3,Trial     4,D9,0:00:00-0:30:00,1563.5,0.869212,59,1725.16,72,4.28,17,1.84,118.989,2974.73,7281.74,320200000
C6,MDA 0.3,Trial     4,E3,0:00:00-0:30:00,1262.49,0.703088,10,1727.68,12,0.56,1,0.08,118.233,2955.82,7142.87,319386000
C6,MDA 0.3,Trial     4,E9,0:00:00-0:30:00,3222.47,1.79149,1034,1697.52,1331,69.32,496,26.68,107.472,2686.79,5571.29,248557000
C6,MDA 0.3,Trial     4,F3,0:00:00-0:30:00,2339.46,1.34517,794,1615.08,1041,49.12,254,13.32,109.94,2748.49,6861.2,294929000
C6,MDA 0.3,Trial     4,F9,0:00:00-0:30:00,3068.7,1.70601,1286,1439.8,1608,71.76,220,10.92,104.484,2612.11,5070.1,227465000
C6,MDA 0.3,Trial     4,G3,0:00:00-0:30:00,1427.92,1.01542,250,1381.72,338,16.72,80,4.56,115.515,2887.89,6726.6,236104000
C6,MDA 0.3,Trial     4,G9,0:00:00-0:30:00,2721.06,1.51274,935,1626.4,1160,56.92,328,17.24,107.487,2687.17,5962.63,267066000
C6,MDA 0.3,Trial     4,H3,0:00:00-0:30:00,2582.63,1.43578,923,1684.56,1294,58.76,244,12.76,107.25,2681.24,6141.98,268662000
C6,MDA 0.3,Trial     4,H9,0:00:00-0:30:00,3233.67,1.79816,1198,1684.12,1617,76.92,379,21.28,106.403,2660.09,5807.32,259663000
C6,MDA 1,Trial     4,A4,0:00:00-0:30:00,1729.61,0.996501,208,1205.72,287,15.8,90,5.88,115.963,2899.06,6589.9,285257000
C6,MDA 1,Trial     4,A10,0:00:00-0:30:00,1920.52,1.06852,333,1749.32,428,19.28,76,4.08,113.942,2848.56,6501.75,289218000
C6,MDA 1,Trial     4,B4,0:00:00-0:30:00,1829.21,1.01756,390,1711.6,490,26.88,149,9.8,114.461,2861.53,7600.42,340187000
C6,MDA 1,Trial     4,B10,0:00:00-0:30:00,1642.89,0.913429,288,1722.96,341,17.76,135,7.64,115.468,2886.69,7900.85,349779000
C6,MDA 1,Trial     4,C4,0:00:00-0:30:00,1785.1,1.00311,411,1662.32,559,27.16,161,8.28,112.232,2805.8,7330.49,324183000
C6,MDA 1,Trial     4,C10,0:00:00-0:30:00,1574.07,0.888323,238,1743.08,336,16.84,69,4.44,115.716,2892.9,7151.82,314129000
C6,MDA 1,Trial     4,D4,0:00:00-0:30:00,849.907,0.65129,7,1682.64,9,0.36,0,0,118.219,2955.48,7657.38,248620000
C6,MDA 1,Trial     4,D10,0:00:00-0:30:00,2365.06,1.37484,466,1744.52,609,35.76,251,17.6,113.097,2827.41,6841,293048000
C6,MDA 1,Trial     4,E4,0:00:00-0:30:00,1501.76,0.834888,60,1761.96,82,3.28,0,0,115.082,2877.05,6598.27,296500000
C6,MDA 1,Trial     4,E10,0:00:00-0:30:00,3120.4,1.73533,1254,1644.16,1625,78.92,405,22.64,103.611,2590.28,5792.78,258596000
C6,MDA 1,Trial     4,F4,0:00:00-0:30:00,1846.78,1.03276,289,1766.2,329,15.72,78,4.48,113.905,2847.62,6089.77,271500000
C6,MDA 1,Trial     4,F10,0:00:00-0:30:00,1671.33,1.11111,384,1674.12,487,23.44,96,5.76,115.615,2890.37,6627.72,246704000
C6,MDA 1,Trial     4,G4,0:00:00-0:30:00,2431.74,1.35196,628,1683.52,857,43.76,262,16,111.945,2798.63,6647.36,297416000
C6,MDA 1,Trial     4,G10,0:00:00-0:30:00,2050.38,1.13988,369,1587.28,468,25,179,11.32,114.084,2852.09,7030.43,313297000
C6,MDA 1,Trial     4,H4,0:00:00-0:30:00,1462.6,0.987337,200,1721.76,262,13.96,89,6,116.936,2923.41,6910.38,249368000
C6,MDA 1,Trial     4,H10,0:00:00-0:30:00,4125.84,2.29489,1667,1635.68,2213,109.96,609,35.24,97.4044,2435.11,4960.52,222549000
C6,MDA 3,Trial     4,A5,0:00:00-0:30:00,1777.78,0.988338,336,1761.04,434,20.56,73,4.32,114.764,2869.1,6886.2,306828000
C6,MDA 3,Trial     4,A11,0:00:00-0:30:00,1705.09,1.25128,488,1558.84,658,33.36,220,12.8,110.709,2767.72,7362.97,245194000
C6,MDA 3,Trial     4,B5,0:00:00-0:30:00,3567.44,1.98381,1551,1662.6,1831,90.52,637,34.32,101.14,2528.49,6036.72,269986000
C6,MDA 3,Trial     4,B11,0:00:00-0:30:00,2583.28,1.43899,916,1714.92,1101,49.64,199,9.64,108.646,2716.14,5636.35,252480000
C6,MDA 3,Trial     4,C5,0:00:00-0:30:00,1977.16,1.10533,555,1749.2,701,33.08,138,7,111.869,2796.72,6608.75,294440000
