, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,Amp 3,Trial    10,G11,0:00:00-0:30:00,2031.43,1.31361,953,1600.52,1146,49.44,142,6.88,108.612,2715.3,6413.29,242718000
C1,Amp 3,Trial    10,H5,0:00:00-0:30:00,2405.61,1.33761,749,1716.24,1124,50.44,139,8.32,108.565,2714.13,6165.54,275846000
C1,Amp 3,Trial    10,H11,0:00:00-0:30:00,1699.8,0.945848,466,1713.04,662,27.68,37,1.96,113.482,2837.05,7240.12,324357000
C1,Amp 10,Trial    10,A6,0:00:00-0:30:00,1019.26,0.840339,166,1706,200,8.64,20,1.2,118.386,2959.64,7299.2,217793000
C1,Amp 10,Trial    10,A12,0:00:00-0:30:00,444.805,0.555173,15,1019.4,18,0.76,2,0.12,119.321,2983.02,8959.61,178753000
C1,Amp 10,Trial    10,B6,0:00:00-0:30:00,1144.7,0.636498,27,1657.76,39,1.92,12,0.68,118.09,2952.26,8495.53,375970000
C1,Amp 10,Trial    10,B12,0:00:00-0:30:00,1135.16,0.670424,8,1438.88,11,0.6,4,0.24,118.901,2972.51,7700.6,324103000
C1,Amp 10,Trial    10,C6,0:00:00-0:30:00,1786.39,1.0066,488,1708.2,653,29.4,41,2.28,112.296,2807.39,7081.93,313050000
C1,Amp 10,Trial    10,C12,0:00:00-0:30:00,950.263,0.645436,3,791,5,0.2,0,0,119.28,2982.01,7863.25,288164000
C1,Amp 10,Trial    10,D6,0:00:00-0:30:00,1813.44,1.00834,342,1745.6,418,19.04,52,3.36,115.054,2876.35,6526.86,292847000
C1,Amp 10,Trial    10,D12,0:00:00-0:30:00,1631.91,0.956572,220,746.48,286,13.52,52,3,116.096,2902.39,6391,271803000
C1,Amp 10,Trial    10,E6,0:00:00-0:30:00,1651.71,0.919949,169,1635.96,215,10.52,51,2.68,117.148,2928.7,6603.68,295647000
C1,Amp 10,Trial    10,E12,0:00:00-0:30:00,1566.16,0.870846,76,910.96,94,4.08,10,0.52,117.916,2947.91,6520.93,291088000
C1,Amp 10,Trial    10,F6,0:00:00-0:30:00,591.616,0.661112,11,1784.64,14,0.64,6,0.24,118.22,2955.49,7909.76,175834000
C1,Amp 10,Trial    10,F12,0:00:00-0:30:00,1510.45,0.89412,435,305.72,548,24.96,93,5.16,114.46,2861.5,8569.3,359182000
C1,Amp 10,Trial    10,G6,0:00:00-0:30:00,1821.02,1.03146,430,1728.32,616,26.44,53,2.88,111.834,2795.85,6566.21,288946000
C1,Amp 10,Trial    10,G12,0:00:00-0:30:00,1101.86,0.612677,50,1687.08,66,3.28,15,1,117.998,2949.95,8888.41,398308000
C1,Amp 10,Trial    10,H6,0:00:00-0:30:00,1117.87,0.625923,160,517.32,213,9.48,36,2,117.366,2934.14,8965.74,387544000
C1,Amp 10,Trial    10,H12,0:00:00-0:30:00,1322.48,0.736859,75,233.36,112,5,17,0.76,117.529,2938.24,7264.37,324638000
C1,Amp DMSO,Trial    10,A1,0:00:00-0:30:00,1206.12,0.687219,14,1530.32,20,1,4,0.28,118.805,2970.13,7307.14,319636000
C1,Amp DMSO,Trial    10,A7,0:00:00-0:30:00,1852.82,1.70202,727,1211.48,841,56.28,223,12.12,105.801,2645.03,5819.75,157663000
C1,Amp DMSO,Trial    10,B1,0:00:00-0:30:00,2952.84,1.80558,1525,1449.88,1907,132.2,363,26.2,99.5227,2488.07,6122.94,247538000
C1,Amp DMSO,Trial    10,B7,0:00:00-0:30:00,3259.48,1.81239,1631,1656.96,2126,92.44,227,11.88,102.55,2563.76,5247.29,235063000
C1,Amp DMSO,Trial    10,C1,0:00:00-0:30:00,1059.42,0.699049,167,1359.2,222,12.8,54,3.24,116.483,2912.06,8684.13,324092000
C1,Amp DMSO,Trial    10,C7,0:00:00-0:30:00,1572.14,0.897015,257,918.4,315,15.28,83,4.28,116.285,2907.12,7275.36,317337000
C1,Amp DMSO,Trial    10,D1,0:00:00-0:30:00,2238.95,1.24933,574,1199.08,797,40.04,248,14.16,111.531,2788.28,6930.67,308969000
C1,Amp DMSO,Trial    10,D7,0:00:00-0:30:00,1893.75,1.05384,397,1719.8,535,26.84,162,9.12,113.986,2849.65,7027.01,314466000
C1,Amp DMSO,Trial    10,E1,0:00:00-0:30:00,1890.24,1.07366,473,621.72,626,30.88,163,9.84,112.424,2810.6,6993.81,306868000
C1,Amp DMSO,Trial    10,E7,0:00:00-0:30:00,1838.81,1.02245,267,1645.48,335,16.28,66,4.16,116.425,2910.62,6335.15,284055000
C1,Amp DMSO,Trial    10,F1,0:00:00-0:30:00,1708.53,1.49693,462,1700.6,620,32.72,198,12.88,111.31,2782.75,6210.11,175939000
C1,Amp DMSO,Trial    10,F7,0:00:00-0:30:00,1439,1.11641,356,1752.92,450,20.68,124,6.16,112.419,2810.48,6533.6,209879000
C1,Amp DMSO,Trial    10,G1,0:00:00-0:30:00,1869.61,1.06723,563,1694.44,778,35.08,125,6.92,111.123,2778.07,7362.44,321466000
C1,Amp DMSO,Trial    10,G7,0:00:00-0:30:00,3198.67,1.77858,1376,1685.4,1748,78.72,215,11.92,104.901,2622.52,4977.76,223292000
C1,Amp DMSO,Trial    10,H1,0:00:00-0:30:00,1471.67,0.900366,377,1607.88,540,40.68,102,7.36,113.295,2832.37,7901.06,320751000
C1,Amp DMSO,Trial    10,H7,0:00:00-0:30:00,2263.35,1.25862,613,1526.12,871,43.64,193,12.76,109.915,2747.87,6846.83,306950000
C1,DMT 0.1,Trial     4,A2,0:00:00-0:30:00,963.722,0.724603,49,1303.92,65,2.96,14,0.72,118.309,2957.74,7545.41,250025000
C1,DMT 0.1,Trial     4,A8,0:00:00-0:30:00,3383.83,1.8812,1228,1384.76,1632,83.32,491,30.48,104.544,2613.59,6219.25,279120000
C1,DMT 0.1,Trial     4,B2,0:00:00-0:30:00,1601.77,0.893763,443,1734,548,24.88,94,4.56,113.885,2847.13,7677.51,336659000
